epoch,best
0,0.24366471103935006
1,0.24366471103935006
2,0.24366471103935006
3,0.09289386291956166
4,0.09289386291956166
5,0.09289386291956166
6,0.07569065484666801
7,0.07569065484666801
8,0.01618613557210677
9,0.01618613557210677
10,0.01618613557210677
11,0.01618613557210677
12,0.01618613557210677
13,0.01618613557210677
14,0.005548249663181256
15,0.002114294034302679
16,0.002114294034302679
17,0.002114294034302679
18,0.002114294034302679
19,0.002114294034302679
20,0.002114294034302679
21,0.002114294034302679
22,0.002114294034302679
23,0.002114294034302679
24,0.002114294034302679
25,0.002114294034302679
26,0.002114294034302679
27,0.002114294034302679
28,0.002114294034302679
29,0.0004324576769426676
30,0.0004324576769426676
31,0.0004324576769426676
32,0.0004324576769426676
33,0.0004324576769426676
34,0.0004324576769426676
35,0.0004324576769426676
36,5.1643252288315103e-05
37,5.1643252288315103e-05
38,3.86151495267283e-05
39,3.86151495267283e-05
40,3.86151495267283e-05
41,3.86151495267283e-05
42,3.86151495267283e-05
43,3.86151495267283e-05
44,3.86151495267283e-05
45,3.86151495267283e-05
46,3.86151495267283e-05
47,3.86151495267283e-05
48,3.86151495267283e-05
49,3.86151495267283e-05
50,3.86151495267283e-05
51,3.86151495267283e-05
52,3.86151495267283e-05
53,3.86151495267283e-05
54,3.86151495267283e-05
55,3.86151495267283e-05
56,3.86151495267283e-05
57,3.86151495267283e-05
58,3.86151495267283e-05
59,3.86151495267283e-05
60,3.86151495267283e-05
61,3.86151495267283e-05
62,3.86151495267283e-05
63,3.86151495267283e-05
64,3.86151495267283e-05
65,3.86151495267283e-05
66,3.86151495267283e-05
67,3.86151495267283e-05
68,3.86151495267283e-05
69,3.86151495267283e-05
70,3.86151495267283e-05
71,3.86151495267283e-05
72,3.86151495267283e-05
73,3.86151495267283e-05
74,3.86151495267283e-05
75,3.86151495267283e-05
76,3.86151495267283e-05
77,3.86151495267283e-05
78,3.86151495267283e-05
79,3.86151495267283e-05
80,3.86151495267283e-05
81,3.86151495267283e-05
82,3.86151495267283e-05
83,3.86151495267283e-05
84,3.86151495267283e-05
85,3.86151495267283e-05
86,3.86151495267283e-05
87,3.86151495267283e-05
88,3.86151495267283e-05
89,3.86151495267283e-05
90,3.86151495267283e-05
91,3.86151495267283e-05
92,3.86151495267283e-05
93,3.86151495267283e-05
94,3.86151495267283e-05
95,3.86151495267283e-05
96,3.86151495267283e-05
97,3.86151495267283e-05
98,3.86151495267283e-05
99,3.86151495267283e-05
100,3.86151495267283e-05
101,3.86151495267283e-05
102,3.86151495267283e-05
103,3.86151495267283e-05
104,3.86151495267283e-05
105,3.86151495267283e-05
106,3.86151495267283e-05
107,3.86151495267283e-05
108,3.86151495267283e-05
109,3.86151495267283e-05
110,3.86151495267283e-05
111,3.86151495267283e-05
112,3.86151495267283e-05
113,3.86151495267283e-05
114,3.86151495267283e-05
115,3.86151495267283e-05
116,3.86151495267283e-05
117,3.86151495267283e-05
118,3.86151495267283e-05
119,3.86151495267283e-05
120,3.86151495267283e-05
